#,population,h,ce3,c4,cl3,cl6,ce6,lb1,lb2,lb3,lb4,hl,el,c,1,2,3,4,5,6,7,8,9,10,11,l2b1,l2b2,l2b3,l2b4,l6b1,l6b2,l6b3,l6b4,Std h,Std ce3,Std c4,Std cl3,Std cl6,Std ce6,Std lb1,Std lb2,Std lb3,Std lb4,Std hl,Std el,Std c,Std 1,Std 2,Std 3,Std 4,Std 5,Std 6,Std 7,Std 8,Std 9,Std 10,Std 11,Std l2b1,Std l2b2,Std l2b3,Std l2b4,Std l6b1,Std l6b2,Std l6b3,Std l6b4
L82,L,8.48,7.82,2.49,5.38,4.62,6.86,0.17,0.29,0.51,0.31,1.13,0.87,0.11,0.17,0.22,0.25,0.29,0.26,0.21,0.23,0.06,0.21,0.38,0.34,0.22,0.38,0.26,0.19,0.29,0.96,0.67,0.01,0.3050292265,1.928479109,0.6441139147,1.5597771475,1.6462830394,1.4561179547,-0.97642522,-1.395670072,0.4853809865,0.166532915,1.0144278992,2.1074323347,-1.528924303,-0.583852709,-0.474617891,-0.054893576,0.5195289712,-0.072646345,0.5670874742,0.1110211404,-0.877334359,0.314473196,0.7139149389,1.3698241292,0.0355784857,-0.413547651,0.0077170138,0.2754905069,-0.021921666,0.8018288069,0.422411978,-1.336101825
L84,L,8.65,6.75,2.24,4.49,3.94,6.2,0.21,0.53,0.04,0.89,1.1,0.63,0.16,0.21,0.32,0.23,0.27,0.19,0.17,0.23,0.15,0.12,0.35,0.26,0.12,0.6,0.2,0.28,0.04,0.89,0.61,0.13,0.5809078767,0.1098480837,-0.183244587,-0.00488346,0.3124014594,0.2550986558,-0.434245663,0.7968007319,-1.939612997,3.2528115522,0.6890074642,-0.518752575,-1.011619087,-0.141353814,0.7575631714,-0.282913046,0.3154957752,-0.759154309,0.0321927387,0.1110211404,0.2301578447,-0.754295848,0.465196186,0.4184350234,-1.094561648,0.9626277255,-0.40900173,1.2599639361,-2.29840232,0.4384099952,0.1442382364,-0.014278951
L85,L,8.8,7.03,2.56,4.76,4.08,6.2,0.21,0.38,0.17,0.64,1.02,0.6,0.19,0.11,0.23,0.21,0.13,0.07,0.09,0.11,0.04,0.09,0.1,0.2,0.09,0.33,0.15,0.21,0.32,0.61,0.33,0.13,0.8243302151,0.5857515296,0.8757742951,0.4697888591,0.5870241376,0.2550986558,-0.434245663,-0.57349352,-1.26886998,1.9225190362,-0.178780362,-0.847025688,-0.701235958,-1.247601052,-0.351399784,-0.510932516,-1.112736596,-1.936025105,-1.037596732,-1.357176798,-1.123443737,-1.110552196,-1.607460088,-0.295106806,-1.433603688,-0.726314782,-0.756267349,0.4942623801,0.251256013,-1.015265252,-1.153905891,-0.014278951
L87,L,9,7.33,2.79,5.12,4.33,6.69,0.34,0.51,0.21,0.82,0.98,0.67,0.27,0.06,0.22,0.23,0.25,0.21,0.18,0.2,0.11,0.14,0.23,0.26,0.26,0.41,0.21,0.3,0.51,0.89,0.48,0.12,1.148893333,1.0956480788,1.6369441163,1.1026852846,1.0774217773,1.1467644989,1.3278378958,0.6140948316,-1.062487514,2.8803296477,-0.612674276,-0.08105509,0.1264523859,-1.800724671,-0.474617891,-0.282913046,0.1114625793,-0.563009177,0.1659164226,-0.256028344,-0.262060912,-0.516791616,-0.529678826,0.4184350234,0.487634539,-0.225887372,-0.339548606,1.4787358092,1.9813813107,0.4384099952,-0.458471537,-0.124430857
L88,L,8.58,7.67,2.76,5.46,4.57,6.87,0.25,0.49,0.38,0.49,0.99,0.72,0.15,0.25,0.25,0.23,0.18,0.21,0.06,0.18,0.03,0.09,0.21,0.28,0.06,0.4,0.14,0.22,0.17,0.65,0.48,0.08,0.4673107855,1.6735308345,1.5376610962,1.7004207977,1.5482035115,1.4743152168,0.1079338932,0.4313889313,-0.18536203,1.1243435265,-0.504200797,0.4660667663,-1.11508013,0.3011450815,-0.104963572,-0.282913046,-0.602653607,-0.563009177,-1.438767784,-0.500728001,-1.246498426,-1.110552196,-0.695491328,0.6562822998,-1.772645727,-0.288440799,-0.825720473,0.6036483166,-1.11463238,-0.807597359,-0.458471537,-0.565038482
L90,L,9.54,7.79,2.58,5.64,4.62,7.07,0.25,0.36,0.38,0.16,1.04,0.87,0.35,0.26,0.31,0.16,0.29,0.36,0.13,0.26,0.03,0.21,0.41,0.26,0.39,0.44,0.05,0.22,0.44,0.65,0.69,0.21,2.0252137513,1.8774894541,0.9419629752,2.0168690104,1.6462830394,1.8382604589,0.1079338932,-0.756199421,-0.18536203,-0.631642595,0.0381665942,2.1074323347,0.9541407301,0.4117698053,0.6343450652,-1.080981191,0.5195289712,0.9080793174,-0.502701997,0.478070625,-1.246498426,0.314473196,0.9626336918,0.4184350234,1.9568167122,-0.038227094,-1.450798589,0.6036483166,1.3439667274,-0.807597359,0.5151365585,0.8669362984
L91,L,8.96,7.39,2.42,5.09,4.33,6.54,0.14,0.3,0.24,0.38,1.05,0.83,0.17,0.03,0.1,0.03,0.1,0.16,0.02,0.08,0.02,0.03,0.12,0.08,0,0.2,0.11,0.21,0.1,0.64,0.79,0.08,1.0839807094,1.1976273886,0.4124535344,1.0499439158,1.0774217773,0.8738055673,-1.383059888,-1.304317122,-0.907700664,0.5390148195,0.1466400726,1.6697348498,-0.908158044,-2.132598842,-1.953235165,-2.563107746,-1.41878639,-1.053372008,-1.973662519,-1.724226283,-1.369553116,-1.823064892,-1.441647586,-1.722190465,-2.450729807,-1.539509323,-1.034079845,0.4942623801,-1.752046963,-0.859514333,0.9787594611,-0.565038482
L92,L,7.57,6.47,1.98,4.29,3.49,5.65,0.31,0.4,0.15,0.35,0.92,0.72,0.15,0.12,0.21,0.13,0.14,0.13,0.06,0.09,0.06,0.08,0.13,0.17,0.18,0.34,0.11,0.1,0.18,0.58,0.05,0.19,-1.17173296,-0.366055362,-1.043697428,-0.356492585,-0.570314292,-0.74575076,0.9212032283,-0.39078762,-1.372061214,0.3793797175,-1.263515146,0.4660667663,-1.11508013,-1.136976328,-0.597835997,-1.423010396,-1.010719998,-1.347589707,-1.438767784,-1.601876454,-0.877334359,-1.229304312,-1.358741335,-0.651877721,-0.416477568,-0.663761356,-1.034079845,-0.708982922,-1.023573154,-1.171016171,-2.452050018,0.6466324861
C37,C,7.74,6.45,2.16,4.14,3.45,5.67,0.3,0.41,0.73,0.24,0.95,0.68,0.18,0.35,0.45,0.38,0.37,0.4,0.28,0.26,0.26,0.27,0.42,0.31,0.2,0.64,0.38,0.15,0.26,0.75,0.69,0.2,-0.89585431,-0.400048465,-0.447999307,-0.620199429,-0.648777914,-0.709356236,0.7856583391,-0.29943467,1.6204845533,-0.20594899,-0.938094711,0.0283692814,-0.804697001,1.4073923195,2.3593985519,1.4272329787,1.335661755,1.3003695825,1.5031532614,0.478070625,1.5837594266,1.0269858919,1.0455399428,1.0130532145,-0.190449541,1.2128414303,0.8411545009,-0.162053239,-0.295099344,-0.288427628,0.5151365585,0.7567843923
C38,C,8.74,6.55,2.25,4.1,3.41,5.94,0.24,0.52,0.64,0.29,1.05,0.69,0.3,0.23,0.3,0.28,0.33,0.33,0.25,0.31,0.04,0.21,0.4,0.24,0.3,0.72,0.67,0.07,0.4,1.08,0.79,0.27,0.7269612798,-0.230082949,-0.150150247,-0.690521254,-0.727241537,-0.218030159,-0.027610996,0.7054477817,1.1561240033,0.0601095137,0.1466400726,0.1377936527,0.436835515,0.0798956339,0.511126959,0.2871356288,0.9275953631,0.6138616186,1.1019822097,1.089819766,-1.123443737,0.314473196,0.8797274408,0.1805877469,0.9396905923,1.7132688399,2.8552950949,-1.037140732,0.9797298226,1.4248324843,0.9787594611,1.5278477354
