#,population,h,ce3,c4,cl3,cl6,ce6,lb1,lb2,lb3,lb4,hl,el,c,1,2,3,4,5,6,7,8,9,10,11,l2b1,l2b2,l2b3,l2b4,l6b1,l6b2,l6b3,l6b4,Std h,Std ce3,Std c4,Std cl3,Std cl6,Std ce6,Std lb1,Std lb2,Std lb3,Std lb4,Std hl,Std el,Std c,Std 1,Std 2,Std 3,Std 4,Std 5,Std 6,Std 7,Std 8,Std 9,Std 10,Std 11,Std l2b1,Std l2b2,Std l2b3,Std l2b4,Std l6b1,Std l6b2,Std l6b3,Std l6b4
C51,C,7.89,6.08,1.88,3.74,3.33,5.5,0.32,0.54,0.43,0.06,0.99,0.76,0.34,0.21,0.21,0.29,0.3,0.31,0.17,0.2,0.1,0.22,0.39,0.21,0.3,0.68,0.27,0.08,0.32,0.85,0.57,0.17,-0.652431971,-1.028920876,-1.374640829,-1.32341768,-0.884168782,-1.018709691,1.0567481174,0.888153682,0.0726160531,-1.163759601,-0.504200797,0.9037642512,0.8506796871,-0.141353814,-0.597835997,0.4011453638,0.6215455691,0.417716486,0.0321927387,-0.256028344,-0.385115602,0.433225312,0.7968211899,-0.176183168,0.9396905923,1.4630551351,0.0771701377,-0.927754795,0.251256013,0.2307421027,-0.041210925,0.4263286738
C52,C,7.55,6.28,2.41,3.93,3.18,5.54,0.33,0.61,0.33,0.11,0.97,0.61,0.31,0.25,0.25,0.35,0.26,0.22,0.2,0.25,0.15,0.23,0.29,0.09,0.26,0.59,0.3,0.03,0.37,0.76,0.56,0.2,-1.204189272,-0.688989843,0.3793591943,-0.989389011,-1.178407365,-0.945920643,1.1922930066,1.5276243331,-0.443340114,-0.897701098,-0.721147754,-0.737601317,0.540296558,0.3011450815,-0.104963572,1.0852037737,0.2134791772,-0.464936611,0.4333637903,0.3557207968,0.2301578447,0.551977428,-0.03224132,-1.603266826,0.487634539,0.9000742993,0.2855295095,-1.474684478,0.706552144,-0.236510655,-0.087573215,0.7567843923
C53,C,8.21,6.58,2.13,4.32,3.39,5.76,0.2,0.52,0.4,0.16,1.17,0.73,0.17,0.17,0.17,0.21,0.15,0.26,0.14,0.23,0.16,0.15,0.28,0.1,0.19,0.62,0.26,0.28,0.29,1.13,0.65,0.14,-0.133130983,-0.179093294,-0.547282327,-0.303751217,-0.766473348,-0.545580877,-0.569790553,0.7054477817,-0.082170797,-0.631642595,1.4483218125,0.5754911376,-0.908158044,-0.583852709,-1.090708421,-0.510932516,-0.9087034,-0.072646345,-0.368978313,0.1110211404,0.353212534,-0.3980395,-0.115147571,-1.484343188,-0.303463554,1.0877345779,0.0077170138,1.2599639361,-0.021921666,1.6844173498,0.3296873974,0.0958729554
20cp,C,7.88,5.92,1.91,3.91,3.25,5.35,0.14,0.34,0.41,0.16,0.97,0.62,0.18,0.28,0.35,0.43,0.32,0.38,0.2,0.32,0.18,0.21,0.35,0.32,0.2,0.19,0.4,0.29,0.31,0.78,0.55,0.1,-0.668660127,-1.300865702,-1.275357808,-1.024549923,-1.041096026,-1.291668623,-1.383059888,-0.938905321,-0.03057518,-0.631642595,-0.721147754,-0.628176946,-0.804697001,0.6330192529,1.12721749,1.9972816536,0.8255787651,1.10422445,0.4333637903,1.2121695943,0.5993219125,0.314473196,0.465196186,1.1319768527,-0.190449541,-1.602062749,0.9800607488,1.3693498726,0.1601967868,-0.132676709,-0.133935505,-0.344734669
3CP,C,7.98,5.93,1.93,4.02,3.45,5.69,0.22,0.65,0.36,0.11,1.18,0.57,0.49,0.47,0.53,0.41,0.46,0.55,0.35,0.5,0.35,0.42,0.63,0.49,0.22,0.51,0.21,0.13,0.31,0.98,0.45,0.1,-0.506378568,-1.283869151,-1.209169128,-0.831164905,-0.648777914,-0.672961712,-0.298700774,1.8930361337,-0.288553264,-0.897701098,1.5567952908,-1.175298802,2.4025953325,2.7348890052,3.3451434014,1.7692621836,2.2538111367,2.7714580767,2.4392190485,3.4144665019,2.6912516299,2.8082676317,2.7865712131,3.1536787026,0.0355784857,0.3996468896,-0.339548606,-0.380825113,0.1601967868,0.9056627532,-0.597558408,-0.344734669
5CP,C,8.15,5.95,1.43,3.84,3.1,5.33,0.21,0.37,0.43,0.2,1.05,0.53,0.47,0.24,0.37,0.24,0.37,0.5,0.14,0.17,0.27,0.23,0.55,0.22,0.22,0.45,0.16,0.24,0.31,0.82,0.73,0.17,-0.230499918,-1.249876047,-2.863886131,-1.147613117,-1.33533461,-1.328063147,-0.434245663,-0.664846471,0.0726160531,-0.418795792,0.1466400726,-1.612996287,2.1956732465,0.1905203577,1.3736537024,-0.168903311,1.335661755,2.2810952453,-0.368978313,-0.623077829,1.7068141158,0.551977428,2.1233212054,-0.05725953,0.0355784857,0.0243263324,-0.686814226,0.8224201898,0.1601967868,0.0749911834,0.7005857196,0.4263286738
6CP,C,7.94,6.64,2.34,4.59,3.53,5.73,0.18,0.44,0.48,0.14,1.01,0.51,0.43,0.34,0.17,0.3,0.33,0.34,0.28,0.37,0.23,0.24,0.44,0.35,0.37,0.46,0.39,0.16,0.45,0.72,0.81,0.1,-0.571291192,-0.077113984,0.1476988139,0.1709211026,-0.49185067,-0.600172663,-0.840880331,-0.025375819,0.3305941365,-0.738065996,-0.287253841,-1.831845029,1.7818290744,1.2967675957,-1.090708421,0.5151550988,0.9275953631,0.7119341848,1.5031532614,1.8239187353,1.2145953588,0.670729544,1.2113524447,1.4887477674,1.7307886855,0.0868797586,0.9106076249,-0.052667303,1.4350259536,-0.444178548,1.0714840417,-0.344734669
9CP,C,8.21,6.07,2.23,3.96,3.51,5.7,0.33,0.48,0.51,0.16,0.95,0.72,0.36,0.36,0.33,0.24,0.25,0.23,0.18,0.32,0.31,0.28,0.42,0.29,0.29,0.59,0.33,0.11,0.34,0.87,0.51,0.19,-0.133130983,-1.045917428,-0.216338927,-0.936647642,-0.531082481,-0.654764449,1.1922930066,0.3400359811,0.4853809865,-0.631642595,-0.938094711,0.4660667663,1.0576017732,1.5180170433,0.8807812776,-0.168903311,0.1114625793,-0.366864044,0.1659164226,1.2121695943,2.1990328729,1.1457380079,1.0455399428,0.7752059381,0.8266765789,0.9000742993,0.4938888813,-0.599596986,0.4333744654,0.3345760489,-0.319384666,0.6466324861
C24ST,C,7.76,6.59,2.07,4.35,3.33,5.67,0.34,0.59,0.57,0.27,1.09,0.52,0.25,0.23,0.27,0.3,0.25,0.32,0.25,0.29,0.13,0.38,0.32,0.23,0.41,0.38,0.52,0.17,0.51,1.12,0.85,0.13,-0.863397998,-0.162096742,-0.745848368,-0.251009848,-0.884168782,-0.709356236,1.3278378958,1.3449184328,0.7949546865,-0.046313888,0.5805339859,-1.722420658,-0.0804697,0.0798956339,0.1414726404,0.5151550988,0.1114625793,0.5157890523,1.1019822097,0.8451201096,-0.015951534,2.3332591678,0.2164774331,0.0616641087,2.1828447388,-0.413547651,1.813498236,0.0567186338,1.9813813107,1.6325003767,1.2569332027,-0.014278951
C48,C,7.85,6.41,2.06,4.06,3.36,5.84,0.37,0.66,0.57,0.11,1.06,0.66,0.42,0.25,0.28,0.38,0.41,0.38,0.29,0.33,0.17,0.22,0.26,0.25,0.36,0.55,0.59,0.14,0.51,0.99,0.7,0.2,-0.717344595,-0.468034672,-0.778942708,-0.760843079,-0.825321065,-0.40000278,1.7344725633,1.9843890838,0.7949546865,-0.897701098,0.2551135509,-0.190479461,1.6783680313,0.3011450815,0.2646907466,1.4272329787,1.7437281469,1.10422445,1.6368769453,1.3345194225,0.4762672232,0.433225312,-0.280960073,0.2995113852,1.6177746722,0.6498605945,2.2996701035,-0.271439176,1.9813813107,0.9575797263,0.5614988488,0.7567843923
CP12,C,8.4,6.54,1.92,4.28,3.71,6.06,0.44,0.43,0.36,0.25,1.2,0.65,0.32,0.45,0.31,0.32,0.23,0.26,0.2,0.3,0.24,0.29,0.37,0.34,0.46,0.75,0.18,0.09,0.6,1.13,0.84,0.16,0.1752039794,-0.247079501,-1.242263468,-0.374073042,-0.138764369,0.0003369863,2.6832867875,-0.11672877,-0.288553264,-0.152737289,1.7737422474,-0.299903832,0.6437576011,2.5136395576,0.6343450652,0.7431745688,-0.092570617,-0.072646345,0.4333637903,0.9674699378,1.3376500481,1.2644901239,0.6310086879,1.3698241292,2.7479148054,1.9009291186,-0.547907978,-0.818368859,2.8009143465,1.6844173498,1.2105709125,0.3161767677
CP20,C,7.44,6,2.17,4.15,3.2,5.13,0.18,0.44,0.57,0.14,1.08,0.62,0.35,0.14,0.28,0.38,0.27,0.25,0.16,0.22,0.1,0.24,0.21,0.2,0.3,0.6,0.18,0.13,0.2,0.6,0.59,0.22,-1.382698986,-1.164893289,-0.414904967,-0.602618973,-1.139175554,-1.692008389,-0.840880331,-0.025375819,0.7949546865,-0.738065996,0.4720605075,-0.628176946,0.9541407301,-0.91572688,0.2646907466,1.4272329787,0.3154957752,-0.170718912,-0.101530945,-0.011328688,-0.385115602,0.670729544,-0.695491328,-0.295106806,0.9396905923,0.9626277255,-0.547907978,-0.380825113,-0.841454701,-1.067182225,0.0515136558,0.9770882046
11LS,M,8.19,6.85,2.15,4.73,4.14,6.31,0.25,0.43,0.38,0.4,1,0.59,0.26,0.2,0.19,0.17,0.17,0.12,0.1,0.14,0.05,0.11,0.18,0.06,0.2,0.61,0.24,0.25,0.37,0.65,0.36,0.11,-0.165587294,0.2798136001,-0.481093647,0.4170474903,0.7047195712,0.4552685389,0.1079338932,-0.11672877,-0.18536203,0.6454382208,-0.395727319,-0.95645006,0.0229913429,-0.251978538,-0.844272209,-0.966971456,-0.704670205,-1.445662273,-0.903873048,-0.990127313,-1.000389048,-0.873047964,-0.94421008,-1.960037741,-0.190449541,1.0251811517,-0.131189234,0.9318061264,0.706552144,-0.807597359,-1.01481902,-0.234582763
18LS,M,8.65,7.37,2.51,5.03,4.05,6.52,0.14,0.4,0.4,0.11,1.19,0.61,0.36,0.22,0.3,0.22,0.18,0.28,0.1,0.18,0.07,0.17,0.25,0.29,0.23,0.34,0.19,0.09,0.43,0.91,0.58,0.07,0.5809078767,1.1636342853,0.7103025949,0.9444611783,0.5281764209,0.8374110431,-1.383059888,-0.39078762,-0.082170797,-0.897701098,1.6652687691,-0.737601317,1.0576017732,-0.03072909,0.511126959,-0.396922781,-0.602653607,0.1234987872,-0.903873048,-0.500728001,-0.754279669,-0.160535268,-0.363866324,0.7752059381,0.148592499,-0.663761356,-0.478454854,-0.818368859,1.2529075012,0.5422439414,0.0051513656,-0.675190388
1LS,M,8.8,6.54,2.53,4.39,3.94,6.32,0.32,0.16,0.43,0.43,0.89,0.59,0.3,0.2,0.17,0.15,0.17,0.12,0.04,0.08,0.07,0.07,0.07,0.02,0.24,0.27,0.31,0.22,0.31,0.5,0.25,0.15,0.8243302151,-0.247079501,0.776491275,-0.180688023,0.3124014594,0.473465801,1.0567481174,-2.583258424,0.0726160531,0.8050733227,-1.588935581,-0.95645006,0.436835515,-0.251978538,-1.090708421,-1.194990926,-0.704670205,-1.445662273,-1.706215152,-1.724226283,-0.754279669,-1.348056428,-1.856178841,-2.435732294,0.2616065123,-1.101635339,0.3549826334,0.6036483166,0.1601967868,-1.586351956,-1.524804213,0.2060248615
24LS,M,8.74,7.09,2.55,5.05,4.13,6.55,0.16,0.37,0.45,0.37,0.94,0.63,0.3,0.25,0.33,0.22,0.26,0.26,0.13,0.2,0.14,0.21,0.3,0.16,0.11,0.18,0.33,0.24,0.36,1.19,0.59,0.12,0.7269612798,0.6877308394,0.8426799551,0.9796220908,0.6851036656,0.8920028294,-1.111970109,-0.664846471,0.1758072864,0.4858031188,-1.046568189,-0.518752575,0.436835515,0.3011450815,0.8807812776,-0.396922781,0.2134791772,-0.072646345,-0.502701997,-0.256028344,0.1071031555,0.314473196,0.0506649311,-0.770801359,-1.207575661,-1.664616175,0.4938888813,0.8224201898,0.6154929178,1.9959191885,0.0515136558,-0.124430857
4LS,M,8.83,7.47,2.39,4.93,4.18,6.61,0.13,0.42,0.21,0.39,0.97,0.75,0.29,0.09,0.15,0.13,0.15,0.28,0.05,0.14,0.01,0.13,0.2,0.23,0.21,0.36,0.31,0.2,0.36,1.19,0.47,0.08,0.8730146828,1.3335998017,0.3131705142,0.7686566156,0.7831831935,1.0011864021,-1.518604777,-0.20808172,-1.062487514,0.5922265201,-0.721147754,0.79433988,0.333374472,-1.468850499,-1.337144634,-1.423010396,-0.9087034,0.1234987872,-1.572491468,-0.990127313,-1.492607805,-0.635543732,-0.778397579,0.0616641087,-0.077435528,-0.538654503,0.3549826334,0.3848764435,0.6154929178,1.9959191885,-0.504833827,-0.565038482
BLS,M,7.98,6.61,2.5,4.78,3.99,6.08,0.16,0.36,0.14,0.25,0.83,0.66,0.19,0.1,0.23,0.14,0.22,0.23,0.09,0.2,0.15,0.11,0.31,0.24,0.14,0.31,0.06,0,0.23,0.62,0.43,0,-0.506378568,-0.128103639,0.6772082548,0.5049497716,0.4104809873,0.0367315105,-1.111970109,-0.756199421,-1.42365683,-0.152737289,-2.239776451,-0.190479461,-0.701235958,-1.358225776,-0.351399784,-1.309000661,-0.194587215,-0.366864044,-1.037596732,-0.256028344,0.2301578447,-0.873047964,0.1335711821,0.1805877469,-0.868533621,-0.851421634,-1.381345465,-1.802842288,-0.568277023,-0.963348279,-0.690282988,-1.446253731
LS38,M,8.41,7.02,2.39,4.8,4.05,6.05,0.18,0.4,0.35,0.25,0.99,0.81,0.17,0.17,0.18,0.18,0.22,0.26,0.15,0.2,0.02,0.08,0.19,0.19,0.13,0.23,0.3,0.25,0.19,0.71,0.25,0.05,0.1914321353,0.568754978,0.3131705142,0.5401106842,0.5281764209,-0.017860276,-0.840880331,-0.39078762,-0.34014888,-0.152737289,-0.504200797,1.4508861074,-0.908158044,-0.583852709,-0.967490315,-0.852961721,-0.194587215,-0.072646345,-0.235254629,-0.256028344,-1.369553116,-1.229304312,-0.86130383,-0.414030444,-0.981547634,-1.351849044,0.2855295095,0.9318061264,-0.932513928,-0.496095521,-1.524804213,-0.8954942
LS48,M,8.31,6.67,2.2,4.58,3.88,6.04,0.3,0.25,0.23,0.16,0.93,0.72,0.17,0.2,0.2,0.09,0.06,0.09,0.08,0.08,0.06,0.13,0.08,0.14,0.2,0.18,0,0,0.23,0.41,0.09,0.18,0.0291505763,-0.026124329,-0.315621947,0.1533406463,0.1947060258,-0.036057538,0.7856583391,-1.761081872,-0.95929628,-0.631642595,-1.155041667,0.4660667663,-0.908158044,-0.251978538,-0.721054103,-1.879049336,-1.826852782,-1.739879972,-1.171320416,-1.724226283,-0.877334359,-0.635543732,-1.77327259,-1.008648635,-0.190449541,-1.664616175,-1.798064208,-1.802842288,-0.568277023,-2.053604714,-2.266600857,0.53648058
LS68,M,9.2,6.96,2.62,4.99,4.25,6.25,0.22,0.43,0.14,0.29,0.99,0.69,0.03,0.27,0.24,0.22,0.15,0.19,0.18,0.17,0.09,0.22,0.4,0.27,0.11,0.36,0.12,0.37,0.19,0.74,0.36,0.14,1.4734564509,0.4667756681,1.0743403354,0.8741393532,0.9204945326,0.3460849663,-0.298700774,-0.11672877,-1.42365683,0.0601095137,-0.504200797,0.1377936527,-2.356612647,0.5223945291,-0.228181678,-0.396922781,-0.9087034,-0.759154309,0.1659164226,-0.623077829,-0.508170291,0.433225312,0.8797274408,0.5373586616,-1.207575661,-0.538654503,-0.964626721,2.2444373652,-0.932513928,-0.340344602,-1.01481902,0.0958729554
CLS,M,8.8,7.07,2.76,4.91,4.24,6.59,0.32,0.36,0.36,0.18,1.02,0.9,0.17,0.3,0.26,0.29,0.18,0.33,0.18,0.22,0.13,0.24,0.42,0.27,0.2,0.24,0.3,0.11,0.41,0.71,0.46,0.1,0.8243302151,0.6537377362,1.5376610962,0.7334957031,0.900878627,0.9647918779,1.0567481174,-0.756199421,-0.288553264,-0.525219193,-0.178780362,2.4357054484,-0.908158044,0.8542687005,0.0182545343,0.4011453638,-0.602653607,0.6138616186,0.1659164226,-0.011328688,-0.015951534,0.670729544,1.0455399428,0.5373586616,-0.190449541,-1.289295618,0.2855295095,-0.599596986,1.0707890488,-0.496095521,-0.551196118,-0.344734669
